time,Open,High,Low,Close,Volume
2018-01-02,1.16916,1.17276,1.16853,1.17135,179011
2018-01-03,1.17135,1.1762299999999999,1.17003,1.17384,112594
2018-01-04,1.17384,1.1775,1.17306,1.1745,96549
2018-01-05,1.1745,1.17783,1.1721,1.17258,95595
2018-01-08,1.1728,1.17463,1.16831,1.16895,83552
2018-01-09,1.16866,1.17385,1.16836,1.1724999999999999,97749
2018-01-10,1.1724999999999999,1.17472,1.16854,1.16892,134629
2018-01-11,1.16892,1.1757,1.16858,1.17402,135343
2018-01-12,1.17402,1.18099,1.17353,1.1804999999999999,171907
2018-01-15,1.18029,1.18327,1.17829,1.18054,166948
2018-01-16,1.18054,1.1828,1.17601,1.17622,156496
2018-01-17,1.17622,1.18019,1.17527,1.17583,200563
2018-01-18,1.17583,1.17747,1.17283,1.17297,152003
2018-01-19,1.17297,1.17815,1.17111,1.17768,150706
2018-01-22,1.17902,1.17975,1.1751,1.17884,113679
2018-01-23,1.17884,1.17964,1.1767400000000001,1.17747,129930
2018-01-24,1.17725,1.17876,1.16846,1.1705,168489
2018-01-25,1.1705,1.17373,1.16257,1.16625,262137
2018-01-26,1.16614,1.16906,1.15873,1.1605,185127
2018-01-29,1.1594,1.16374,1.15407,1.16058,153003
2018-01-30,1.1606,1.16138,1.15678,1.1587,174703
2018-01-31,1.1587,1.1637,1.15528,1.15534,210640
2018-02-01,1.15534,1.16068,1.1547399999999999,1.15819,168983
2018-02-02,1.15819,1.16225,1.15623,1.16032,173461
2018-02-05,1.15957,1.16394,1.15079,1.1516899999999999,187462
2018-02-06,1.15144,1.16282,1.15117,1.1583,266141
2018-02-07,1.1583,1.16191,1.15579,1.15668,161825
2018-02-08,1.15761,1.15943,1.1445400000000001,1.1464699999999999,220404
2018-02-09,1.1464699999999999,1.15278,1.14494,1.15105,190623
2018-02-12,1.15105,1.15497,1.14764,1.15406,131138
2018-02-13,1.15381,1.15619,1.15072,1.1547,132465
2018-02-14,1.1547,1.1584699999999999,1.14977,1.15679,175096
2018-02-15,1.15679,1.15736,1.15188,1.15284,154717
2018-02-16,1.15284,1.15462,1.15017,1.1510799999999999,144235
2018-02-19,1.15062,1.15355,1.15031,1.15236,121854
2018-02-20,1.15211,1.15576,1.15176,1.15456,130797
2018-02-21,1.15456,1.15601,1.15299,1.15302,145901
2018-02-22,1.15302,1.1544,1.14981,1.15003,129261
2018-02-23,1.15003,1.15232,1.14905,1.15116,106821
2018-02-26,1.15001,1.15548,1.1495,1.1551,184054
2018-02-27,1.15511,1.15628,1.14833,1.14834,121847
2018-02-28,1.14821,1.1534200000000001,1.1482,1.15154,123291
2018-03-01,1.15155,1.15603,1.15107,1.15503,150620
2018-03-02,1.15503,1.15602,1.14955,1.15515,152873
2018-03-05,1.15455,1.16002,1.15101,1.15912,157959
2018-03-06,1.15913,1.1673499999999999,1.15881,1.16645,128326
2018-03-07,1.16625,1.17122,1.16308,1.17075,144392
2018-03-08,1.17076,1.1741,1.1682,1.1706699999999999,151914
2018-03-09,1.17039,1.17262,1.16755,1.17069,147848
2018-03-12,1.17038,1.17154,1.16731,1.1685699999999999,197209
2018-03-13,1.1685699999999999,1.17084,1.16778,1.1691799999999999,140372
2018-03-14,1.16921,1.17121,1.16816,1.16838,138643
2018-03-15,1.16838,1.1712,1.16774,1.17023,141891
2018-03-16,1.17023,1.17132,1.16878,1.16996,124974
2018-03-19,1.1702,1.1743999999999999,1.16925,1.17328,267684
